Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,10000,1149,1006,6204,275.68,0.000%,8.29095,6.29,2.53,777.3
Create Booking,10000,296,252,6300,231.38,0.000%,8.29512,7.44,3.60,918.6
Search Booking,10000,300,253,10286,233.93,0.330%,8.26282,7.17,1.97,888.9
TOTAL,30000,582,252,10286,471.58,0.110%,24.74264,20.82,8.07,861.6
