Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,30000,1150,1034,10156,222.91,0.003%,24.86770,18.88,7.60,777.3
Create Booking,30000,886,2,13954,2168.76,1.160%,24.82219,22.36,10.76,922.3
Search Booking,30000,803,0,13887,2020.85,2.363%,24.86527,22.03,5.89,907.3
TOTAL,90000,946,0,13954,1722.67,1.176%,74.12776,62.90,24.12,869.0
