Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,25000,1146,1034,11163,277.14,0.000%,20.69756,15.71,6.33,777.2
Create Booking,25000,366,258,10303,392.36,0.120%,20.62728,18.52,8.94,919.2
Search Booking,25000,368,0,10305,374.19,0.672%,20.60486,17.92,4.93,890.6
TOTAL,75000,627,0,11163,508.29,0.264%,61.67302,51.94,20.11,862.3
