Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,6666,1162,1005,9133,271.09,0.000%,5.52972,4.20,1.69,777.4
Create Booking,6666,293,252,4295,156.02,0.000%,5.52811,4.96,2.40,918.7
Search Booking,6666,297,252,4300,159.44,0.330%,5.52286,4.80,1.32,889.1
TOTAL,19998,584,252,9133,456.13,0.110%,16.53711,13.92,5.39,861.8
