Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,20000,1141,1009,11199,226.69,0.000%,16.60323,12.60,5.08,777.1
Create Booking,20000,299,251,10288,193.90,0.000%,16.57505,14.87,7.19,918.5
Search Booking,20000,304,253,8319,181.30,0.345%,16.56999,14.38,3.96,888.7
TOTAL,60000,581,251,11199,444.06,0.115%,49.56973,41.70,16.17,861.4
